icao24,registration,model,typecode,operator,operatoricao
880441,HS-ABA,A320 216,A320,,AIQ
880442,HS-ABB,A320 216,A320,,AIQ
880443,HS-ABC,A320 216,A320,,AIQ
880444,HS-ABD,A320 216,A320,,AIQ
880445,HS-ABE,A320 216,A320,,AIQ
880446,HS-ABF,A320 216,A320,,AIQ
880447,HS-ABG,A320 216,A320,,AIQ
880448,HS-ABH,A320 216,A320,,AIQ
880449,HS-ABI,A320 216,A320,,AIQ
88044a,HS-ABJ,A320 216,A320,,AIQ
88044b,HS-ABK,A320 216,A320,,AIQ
88044c,HS-ABL,A320 216,A320,,AIQ
88044d,HS-ABM,A320 216,A320,,AIQ
88044e,HS-ABN,A320 216,A320,,AIQ
88044f,HS-ABO,A320 216,A320,,AIQ
880450,HS-ABP,A320 216,A320,,AIQ
880451,HS-ABQ,A320 216,A320,,AIQ
880452,HS-ABR,A320 216,A320,,AIQ
880453,HS-ABS,A320 216,A320,,AIQ
880454,HS-ABT,A320 216,A320,,AIQ
880455,HS-ABU,A320 216,A320,,AIQ
880456,HS-ABV,A320 216,A320,,AIQ
880457,HS-ABW,A320 216,A320,,AIQ
880458,HS-ABX,A320-214,A320,Thai Airasia,AIQ
880459,HS-ABY,A320 214,A320,,AIQ
88045a,HS-ABZ,A320 216,A320,,AIQ
880841,HS-BBA,A320 214,A320,,AIQ
880842,HS-BBB,A320 216,A320,,AIQ
880843,HS-BBC,A320 216SL,A320,,AIQ
880844,HS-BBD,A320 216SL,A320,,AIQ
880845,HS-BBE,A320 216SL,A320,,AIQ
880846,HS-BBF,A320 216SL,A320,,AIQ
880847,HS-BBG,A320 216SL,A320,,AIQ
880848,HS-BBH,A320 216SL,A320,,AIQ
880849,HS-BBI,A320 216SL,A320,,AIQ
88084a,HS-BBJ,A320 216SL,A320,,AIQ
88084b,HS-BBK,A320 216SL,A320,,AIQ
88084c,HS-BBL,A320 216SL,A320,,AIQ
88084d,HS-BBM,A320 216SL,A320,,AIQ
88084e,HS-BBN,A320 216SL,A320,,AIQ
88084f,HS-BBO,A320 216SL,A320,,AIQ
880850,HS-BBP,A320 216SL,A320,,AIQ
880851,HS-BBQ,A320 216SL,A320,,AIQ
880852,HS-BBR,A320 216SL,A320,,AIQ
880853,HS-BBS,A320 216,A320,,AIQ
880854,HS-BBT,A320 216,A320,,AIQ
880855,HS-BBU,A320 216SL,A320,,AIQ
880856,HS-BBV,A320 216SL,A320,,AIQ
880857,HS-BBW,A320 216SL,A320,,AIQ
880858,HS-BBX,A320 251NSL,A20N,,AIQ
880859,HS-BBY,A320 251NSL,A20N,,AIQ
88085a,HS-BBZ,A320 251NSL,A20N,,AIQ
880c41,HS-CBA,A320 216SL,A320,,AIQ
880c42,HS-CBB,A320 251NSL,A20N,,AIQ
880c4a,HS-CBJ,A320-251N,A20N,Thai Airasia,AIQ
8a017c,PK-AXD,A320 214,A320,,AWQ
8a018c,PK-AXE,A320 216,A320,,AWQ
8a01ba,PK-AXF,A320 216,A320,,AWQ
8a01bb,PK-AXG,A320 216,A320,,AWQ
8a01c9,PK-AXH,A320 216,A320,,AWQ
8a01e2,PK-AXI,A320 216,A320,,AWQ
8a01fe,PK-AXJ,A320 216,A320,,AWQ
8a02a8,PK-AXR,A320 216,A320,,AWQ
8a02b0,PK-AXS,A320 216,A320,,AWQ
8a02ca,PK-AXT,A320 216,A320,,AWQ
8a02cb,PK-AXU,A320 216,A320,,AWQ
8a02d2,PK-AXV,A320 216,A320,,AWQ
8a0320,PK-AXX,A320 216,A320,,AWQ
8a036b,PK-AXY,A320 216,A320,,AWQ
8a0394,PK-AZA,A320 216,A320,,AWQ
8a03e5,PK-AZD,A320 216SL,A320,,AWQ
8a03f3,PK-AZE,A320 214SL,A320,,AWQ
8a03f4,PK-AZF,A320 216SL,A320,,AWQ
8a0418,PK-AZG,A320 216SL,A320,,AWQ
8a0419,PK-AZH,A320 216,A320,,AWQ
8a0441,PK-AZI,A320 216,A320,,AWQ
8a0442,PK-AZJ,A320 214,A320,,AWQ
750105,9M-AFB,A320 214,A320,,AXM
750106,9M-AFC,A320 214,A320,,AXM
750109,9M-AFD,A320 214,A320,,AXM
75010a,9M-AFE,A320 214,A320,,AXM
75010b,9M-AFF,A320 214,A320,Airasia,AXM
75012b,9M-AFO,Airbus A320 216,A320,,AXM
75013f,9M-AFP,A320 216,A320,,AXM
750146,9M-AFT,A320 216,A320,,AXM
750147,9M-AFU,A320 216,A320,,AXM
750148,9M-AFV,A320 216,A320,,AXM
750149,9M-AFW,A320 216,A320,,AXM
75014b,9M-AFY,A320 216,A320,,AXM
75014c,9M-AFZ,A320 216,A320,,AXM
750413,9M-AGA,A320 251NSL,A20N,,AXM
750419,9M-AGB,A320 251NSL,A20N,,AXM
750436,9M-AGC,A320 216SL,A320,,AXM
75043c,9M-AGD,A320 251NSL,A20N,,AXM
75043e,9M-AGE,A320 251NSL,A20N,,AXM
75043f,9M-AGF,A320 251NSL,A20N,,AXM
750440,9M-AGG,A320 251NSL,A20N,,AXM
750092,9M-AHA,A320 216,A320,,AXM
7500bf,9M-AHB,A320 216,A320,,AXM
7500dc,9M-AHD,A320 216,A320,,AXM
7500e4,9M-AHE,A320 216,A320,,AXM
750159,9M-AHF,A320 216,A320,,AXM
75015a,9M-AHG,A320 216,A320,,AXM
75015b,9M-AHH,A320 216,A320,,AXM
75002a,9M-AHJ,A320 216,A320,,AXM
75002c,9M-AHL,A320 216,A320,,AXM
75006e,9M-AHM,A320 216,A320,,AXM
750076,9M-AHP,A320 216,A320,,AXM
750090,9M-AHQ,A320 216,A320,,AXM
750094,9M-AHR,A320 216,A320,,AXM
7500dd,9M-AHS,A320 216,A320,,AXM
7501e4,9M-AHT,A320 216,A320,,AXM
7501e6,9M-AHV,A320 216,A320,,AXM
7501f1,9M-AHX,A320 216,A320,,AXM
7501fc,9M-AHY,A320 216,A320,,AXM
7501fd,9M-AHZ,A320 216,A320,,AXM
750333,9M-AJA,A320 216SL,A320,,AXM
75033b,9M-AJC,A320 216SL,A320,,AXM
75033d,9M-AJD,A320 216SL,A320,,AXM
75033c,9M-AJE,A320 216SL,A320,,AXM
7503b1,9M-AJG,A320 216SL,A320,,AXM
7503b2,9M-AJH,A320 216SL,A320,,AXM
7503b3,9M-AJI,A320 216SL,A320,,AXM
7503be,9M-AJJ,A320 216SL,A320,,AXM
7503bf,9M-AJK,A320 216SL,A320,,AXM
7503c4,9M-AJN,A320 216SL,A320,,AXM
7503c8,9M-AJP,A320 216SL,A320,,AXM
750111,9M-AJS,A320 216,A320,,AXM
750140,9M-AJT,A320 216SL,A320,,AXM
7503e3,9M-AJV,A320 216,A320,,AXM
7503e4,9M-AJW,A320 216,A320,,AXM
7503ec,9M-AJX,A320 216,A320,,AXM
7503f6,9M-AJY,A320 216,A320,,AXM
7503fd,9M-AJZ,A320 216SL,A320,,AXM
75022b,9M-AQA,A320 216,A320,,AXM
750239,9M-AQB,A320 216,A320,,AXM
750277,9M-AQC,A320 216,A320,,AXM
75027d,9M-AQD,A320 216,A320,,AXM
750272,9M-AQE,A320 216,A320,,AXM
75027e,9M-AQF,A320 216,A320,,AXM
750286,9M-AQG,A320 216,A320,,AXM
750287,9M-AQH,A320 216,A320,,AXM
750288,9M-AQI,A320 216,A320,,AXM
75029c,9M-AQM,A320 216,A320,,AXM
7502ad,9M-AQN,A320 216,A320,,AXM
7502b3,9M-AQO,A320 216,A320,,AXM
7502b7,9M-AQP,A320 216,A320,,AXM
7502b8,9M-AQQ,A320 216SL,A320,,AXM
7502b9,9M-AQR,A320 216,A320,,AXM
7502bc,9M-AQS,A320 216,A320,,AXM
7502ca,9M-AQU,Airbus A320 216SL,A320,,AXM
750307,9M-AQV,A320 216SL,A320,,AXM
750322,9M-AQX,A320 216SL,A320,,AXM
750323,9M-AQY,A320 216SL,A320,,AXM
750324,9M-AQZ,A320 216SL,A320,,AXM
750410,9M-NEO,A320 251NSL,A20N,,AXM
8013af,VT-HKG,A320-214,A320,Airasia India,IAD
886289,HS-XTI,A330-343 ,A333,Thai Airasia X,TAX
7503e0,9M-XBA,A330 343E,A333,,XAX
7503ae,9M-XBB,A330 343E,A333,,XAX
7503e2,9M-XBC,A330 343E,A333,,XAX
750073,9M-XXA,A330 343E,A333,,XAX
750074,9M-XXB,A330 343E,A333,,XAX
7501e7,9M-XXC,A330 343E,A333,,XAX
7501e8,9M-XXD,A330 343E,A333,,XAX
7501e9,9M-XXE,A330 343E,A333,,XAX
7501f9,9M-XXF,A330 343E,A333,,XAX
7501fa,9M-XXG,A330 343E,A333,,XAX
7501fb,9M-XXH,A330 343E,A333,,XAX
750299,9M-XXI,A330 343E,A333,,XAX
7502cc,9M-XXJ,A330 343E,A333,,XAX
7502cd,9M-XXK,A330 343E,A333,,XAX
750334,9M-XXP,A330 343E,A333,,XAX
7504cd,9M-XXQ,A330-343,A333,Airasia X,XAX
7503a9,9M-XXS,A330 343E,A333,,XAX
7503aa,9M-XXT,A330 343E,A333,,XAX
75002b,9M-XXU,A330 343E,A333,,XAX
75006f,9M-XXV,A330 343E,A333,,XAX
7500c8,9M-XXW,A330 343E,A333,,XAX
750112,9M-XXY,A330 343E,A333,,XAX
75026b,9M-XXZ,A330 343E,A333,,XAX
